etiqueta de desglose compuesto,composite_breakdown_label
unidad de medida,computation_units
derechos de autor,copyright
notas al pie,data_footnote
datos no estadísticos,data_non_statistical
color de aviso,data_notice_class
titulo de aviso,data_notice_heading
texto de aviso,data_notice_text
mostrar mapa,data_show_map
valor de inicio,data_start_values
pie de página,embedded_feature_footer
html incrustado,embedded_feature_html
texto de pestaña html incrustado,embedded_feature_tab_title
título sobre el html incrustado,embedded_feature_title
url del html incrustado,embedded_feature_url
desgloses esperados,expected_disaggregations
anotaciones gráficas,graph_annotations
límites gráficos,graph_limits
desagregación apilada,graph_stacked_disaggregation
título de gráfica,graph_title
títulos gráficos,graph_titles
tipo de gráfica,graph_type
nombre del indicador,indicator_name
códgio del indicador,indicator_number
cobertura geográfica nacional,national_geographical_coverage
contenido de página,page_content
enlace permanente,permalink
precisión de decimales,precision
informe de estado,reporting_status
orden,sort
indicador único,standalone
etiquetas,tags
